0	603	1805	3	592
1	778	1581	6	923
2	976	743	3	547
3	1500	1107	1	263
4	981	1791	3	482
5	892	1923	5	758
6	598	1220	4	656
7	1493	1576	3	559
8	1338	1819	1	203
9	772	1914	0	1
10	979	1241	1	213
11	1215	1780	1	203
12	1298	1650	2	401
13	769	1637	6	923
14	1102	1629	4	677
15	1560	1893	1	210
16	1362	1168	6	907
17	915	1024	5	896
18	1091	938	3	507
19	1106	1588	0	77
20	651	834	6	1028
21	601	671	5	866
22	677	1955	1	151
23	1219	1719	1	203
24	1014	883	4	733
25	538	1562	0	55
26	757	1414	6	950
27	1118	1181	3	545
28	725	1645	5	819
29	1266	1704	2	399
30	1235	1353	5	790
31	1550	1464	4	670
32	1314	1913	2	345
33	1287	720	6	990
34	1015	1033	2	418
35	965	1228	2	363
36	1327	870	6	929
37	1348	1759	3	534
38	798	1858	5	829
39	1056	1311	5	882
40	1379	1029	4	705
41	1018	1347	4	732
42	718	833	4	728
43	1237	1727	0	53
44	764	1527	2	323
45	1673	1256	6	983
46	843	715	3	588
47	1000	1924	6	919
48	641	1045	1	152
49	1305	1786	1	203
50	692	1781	3	529
51	1321	1214	5	899
52	1330	1543	4	692
53	954	1214	0	63
54	1079	1099	1	268
55	839	1373	1	298
56	1048	1571	2	377
57	1028	783	6	1012
58	1160	1440	0	43
59	1154	995	4	745
60	626	1566	4	669
61	545	1700	1	181
62	1196	868	4	691
63	779	1403	6	950
64	940	1339	4	663
65	529	1765	0	35
66	1598	1945	3	510
67	1545	1920	0	60
68	1336	777	1	212
69	1417	1355	4	687
70	964	1438	5	813
71	713	1480	5	887
72	1096	1188	4	724
73	944	1918	5	753
74	765	1469	4	616
75	1121	906	5	883
76	637	1666	0	31
77	824	1163	2	310
78	1507	1859	6	1040
79	728	836	3	578
80	657	654	0	82
81	800	1857	2	379
82	965	1487	0	63
83	1378	1090	6	907
84	1532	1130	4	666
85	1125	1084	2	395
86	1488	1509	1	237
87	1003	748	0	112
88	1055	1679	0	21
89	645	1976	4	742
90	755	1065	1	200
91	611	1216	0	56
92	634	849	0	28
93	1024	1296	4	710
94	1303	1985	5	879
95	1500	1187	2	366
96	1642	1685	0	0
97	1020	978	6	957
98	1366	1718	2	325
99	1172	1594	0	143
100	1009	962	4	657
101	1634	1478	5	820
102	775	783	4	720
103	1340	842	0	29
104	1172	1174	1	299
105	1117	1961	5	783
106	1163	1421	3	493
107	909	1122	6	973
108	671	1464	2	437
109	683	1645	6	969
110	712	1689	2	369
111	1103	892	0	133
112	1132	1698	5	771
113	1389	1343	0	87
114	744	1766	5	829
115	1433	1593	0	109
116	1103	1440	0	95
117	1374	984	1	255
118	1166	1110	2	445
119	673	777	5	870
120	1251	811	0	29
121	597	1908	5	785
122	1396	1238	0	131
123	925	1838	6	1008
124	1144	1793	5	771
125	650	671	1	232
126	729	1907	4	601
127	1393	990	1	255
128	818	1155	2	310
129	1134	1274	4	695
130	1212	1957	4	645
131	1098	1137	0	88
132	1504	1773	1	290
133	974	1961	1	153
134	1430	1356	1	237
135	892	1063	1	296
136	869	1395	0	144
137	685	1249	1	206
138	488	1447	6	955
139	579	1801	5	785
140	939	1190	2	363
141	646	660	3	532
142	1305	802	4	629
143	732	1836	0	79
144	1260	1264	4	717
145	623	1422	6	974
146	1109	1304	6	995
147	1374	1551	2	409
148	1671	1634	5	844
149	1364	1668	5	796
150	1428	1509	0	87
151	904	1259	2	326
152	508	1592	0	31
153	784	1467	0	16
154	609	1602	6	931
155	1255	1822	6	953
156	816	949	2	357
157	1062	1543	3	527
158	800	1415	1	200
159	606	1254	2	356
160	1671	1500	0	70
161	1086	1314	3	582
162	788	654	5	888
163	1257	1490	2	392
164	785	1034	6	950
165	1097	1225	4	724
166	1408	936	4	698
167	1267	1885	1	195
168	844	1982	0	8
169	1644	1586	2	394
170	811	712	3	588
171	750	1359	6	950
172	1364	796	6	965
173	1116	1449	6	995
174	1264	1013	2	441
175	1544	1121	4	713
176	663	1812	1	229
177	1578	1956	4	660
178	1471	1748	1	161
179	1328	1136	4	607
180	1617	1897	6	960
181	665	1393	4	737
182	1474	1198	4	607
183	1280	846	0	29
184	1246	1015	6	1041
185	604	696	3	566
186	1475	1409	6	987
187	1606	1994	0	60
188	1487	1916	1	204
189	932	967	2	357
190	1250	1956	2	345
191	1176	958	5	807
192	842	1978	1	158
193	1007	1979	6	919
194	570	1708	4	631
195	1316	761	0	90
196	1169	872	6	991
197	1446	1348	1	237
198	1512	1453	4	670
199	802	1600	6	923
200	1170	1044	2	445
201	571	1312	1	206
202	1056	1677	1	171
203	616	900	3	452
204	613	1208	5	806
205	926	993	6	1046
206	1121	1205	4	695
207	867	1293	0	26
208	1536	1297	3	533
209	1700	1931	1	210
210	569	1450	6	974
211	1102	1611	6	977
212	661	1531	4	674
213	714	1967	0	1
214	1256	1602	5	821
215	679	1128	2	356
216	1140	1395	0	95
217	976	743	6	997
218	1058	1112	4	688
219	607	1223	0	56
220	609	1778	3	592
221	939	1386	6	963
222	1104	905	3	583
223	1452	1535	6	987
224	863	681	0	97
225	1625	1909	1	210
226	498	1765	6	935
227	499	1829	4	635
228	1351	905	5	848
229	1416	1962	0	114
230	1146	633	2	411
231	592	1725	4	631
232	587	1409	5	824
233	1643	1963	3	510
234	558	1682	4	631
235	571	1817	5	785
236	662	1755	4	631
237	1217	1483	1	242
238	1691	1958	3	510
239	1083	1619	0	77
240	767	1548	6	923
241	941	1309	1	213
242	1324	635	5	854
243	1577	1485	5	820
244	1201	1789	0	53
245	1295	924	3	591
246	977	922	1	284
247	611	1839	2	442
248	1088	1974	4	619
249	1044	1893	4	619
250	860	1928	1	158
251	920	1442	4	744
252	1019	1836	4	708
253	1033	1837	1	258
254	1276	1278	5	867
255	527	1905	3	485
256	624	1754	4	631
257	937	1490	0	63
258	1540	1600	2	342
259	1523	1424	0	70
260	647	1570	5	819
261	867	1118	6	973
262	862	1362	1	298
263	1354	1426	3	493
264	1451	1214	5	881
265	619	678	4	716
266	1027	624	0	112
267	833	1419	1	294
268	977	968	4	657
269	901	805	1	247
270	1055	1884	3	469
271	662	890	0	2
272	1656	1833	6	1040
273	1169	1464	6	943
274	1423	1768	1	234
275	1233	1291	2	417
276	494	1779	1	185
277	1130	851	4	691
278	763	1099	5	800
